category,level,name,symbol,note
元素記号,1,水素,H,
元素記号,1,ヘリウム,He,
元素記号,1,リチウム,Li,
元素記号,1,ベリリウム,Be,
元素記号,1,ホウ素,B,
元素記号,1,炭素,C,
元素記号,1,窒素,N,
元素記号,1,酸素,O,
元素記号,1,フッ素,F,
元素記号,1,ネオン,Ne,
元素記号,1,ナトリウム,Na,
元素記号,1,マグネシウム,Mg,
元素記号,1,アルミニウム,Al,
元素記号,1,ケイ素,Si,
元素記号,1,リン,P,
元素記号,1,硫黄,S,
元素記号,1,塩素,Cl,
元素記号,1,アルゴン,Ar,
元素記号,1,カリウム,K,
元素記号,1,カルシウム,Ca,
元素記号,2,亜鉛,Zn,
元素記号,2,鉄,Fe,
元素記号,2,銅,Cu,
元素記号,2,銀,Ag,
元素記号,2,金,Au,
元素記号,2,バリウム,Ba,
元素記号,2,マンガン,Mn,
元素記号,3,臭素,Br,
元素記号,3,ヨウ素,I,
元素記号,3,クロム,Cr,
元素記号,3,コバルト,Co,
元素記号,3,ニッケル,Ni,
元素記号,4,スズ,Sn,
元素記号,4,鉛,Pb,
元素記号,4,水銀,Hg,
元素記号,4,白金,Pt,
元素記号,4,チタン,Ti,
元素記号,4,カドミウム,Cd,
元素記号,5,スカンジウム,Sc,
元素記号,5,バナジウム,V,
元素記号,5,ガリウム,Ga,
元素記号,5,ゲルマニウム,Ge,
元素記号,5,ヒ素,As,
元素記号,5,セレン,Se,
元素記号,5,クリプトン,Kr,
元素記号,5,モリブデン,Mo,
元素記号,5,タングステン,W,
元素記号,5,ストロンチウム,Sr,
元素記号,5,セシウム,Cs,
元素記号,5,ウラン,U,
化学式,1,窒素(分子),N2,
化学式,1,酸素(分子),O2,
化学式,1,水素(分子),H2,
化学式,1,オゾン,O3,
化学式,1,銀,Ag,
化学式,1,鉄,Fe,
化学式,1,カルシウム,Ca,
化学式,1,ナトリウム,Na,
化学式,1,ヘリウム(分子),He,
化学式,1,ネオン(分子),Ne,
化学式,1,アルゴン(分子),Ar,
化学式,1,黒鉛,C,
化学式,1,ダイヤモンド,C,
化学式,2,メタン,CH4,
化学式,2,アンモニア,NH3,
化学式,2,水,H2O,
化学式,2,二酸化炭素,CO2,
化学式,2,二酸化ケイ素,SiO2,
化学式,2,酸化銅,CuO,
化学式,2,酸化マグネシウム,MgO,
化学式,2,硫化鉄,FeS,
化学式,2,硫化銅,CuS,
化学式,2,塩化水素,HCl,
化学式,2,塩化ナトリウム,NaCl,
化学式,2,水酸化ナトリウム,NaOH,
化学式,2,水酸化カルシウム,Ca(OH)2,
化学式,2,水酸化バリウム,Ba(OH)2,
化学式,3,過酸化水素,H2O2,
化学式,3,プロパン,C3H8,
化学式,3,エタノール,CH3CH2OH,
化学式,3,酢酸,CH3COOH,
化学式,3,ブドウ糖,C6H12O6,
化学式,3,酸化銀,Ag2O,
化学式,3,酸化鉄(III)[赤さび],Fe2O3,
化学式,3,"酸化鉄(II,III)[黒さび]",Fe3O4,
化学式,3,硝酸,HNO3,
化学式,3,硫酸,H2SO4,
化学式,3,炭酸ナトリウム,Na2CO3,
化学式,3,炭酸水素ナトリウム,NaHCO3,
化学式,3,炭酸カルシウム,CaCO3,
化学式,3,炭酸アンモニウム,(NH4)2CO3,
化学式,3,塩化アンモニウム,NH4Cl,
化学式,3,塩化銅,CuCl2,
化学式,3,塩化バリウム,BaCl2,
化学式,4,硫酸バリウム,BaSO4,
化学式,4,硫酸銅,CuSO4,
化学式,4,硫化水素,H2S,
化学式,4,一酸化炭素,CO,
化学式,4,酸化カルシウム,CaO,
化学式,4,酸化亜鉛,ZnO,
化学式,4,水酸化カリウム,KOH,
化学式,4,硝酸カリウム,KNO3,
化学式,4,塩化マグネシウム,MgCl2,
化学式,4,硫酸ナトリウム,Na2SO4,
